Year,Tm,W,L,T,W/L,PF,PA,PD,G,Yds,Ply,Y/P,TO,FL,1stD,Cmp_pass,Att_pass,Yds_pass,TD_pass,Int_pass,NY/A_pass,1stD_pass,Att_rush,Yds_rush,TD_rush,Y/A_rush,1stD_rush,Pen,1stPy,Sc%,TO%,EXP,RPO_plays,RPO_yds,RPO_yds/play,RPO_pass_att,RPO_pass_yds,RPO_rush_att,RPO_rush_yds,Play_Action,Play_Action_yds,Play_Action_yds/att
2012,New England Patriots,12,4,0,0.75,557,331,226,16,6846,1191,5.7,16,7,444,402,641,4662,34,9,7,256,523,2184,25,4.2,151,97,37,48.1,8.1,118.97,,,,,,,,,,
2012,Miami Dolphins,7,9,0,0.438,288,317,-29,16,4984,981,5.1,26,13,288,293,504,3182,13,13,5.9,158,440,1802,15,4.1,93,82,37,27.4,12.9,-88.66,,,,,,,,,,
2012,New York Jets,6,10,0,0.375,281,375,-94,16,4787,1034,4.6,37,18,299,272,493,2891,14,19,5.4,162,494,1896,12,3.8,102,83,35,24.2,17.5,-166.55,,,,,,,,,,
2012,Buffalo Bills,6,10,0,0.375,344,435,-91,16,5486,983,5.6,34,17,301,309,511,3269,24,17,6,176,442,2217,12,5,103,104,22,30,17.4,-100.38,,,,,,,,,,
2011,New England Patriots,13,3,0,0.813,513,342,171,16,6848,1082,6.3,17,5,399,402,612,5084,39,12,7.9,262,438,1764,18,4,107,87,30,47.2,8.3,99.08,,,,,,,,,,
2011,New York Jets,8,8,0,0.5,377,363,14,16,4989,1030,4.8,34,16,301,310,547,3297,26,18,5.6,173,443,1692,14,3.8,92,102,36,29.6,13.8,-156.9,,,,,,,,,,
2011,Miami Dolphins,6,10,0,0.375,329,313,16,16,5078,990,5.1,25,12,287,280,469,3091,20,13,5.9,166,469,1987,11,4.2,89,85,32,32.8,12.8,-126.5,,,,,,,,,,
2011,Buffalo Bills,6,10,0,0.375,372,434,-62,16,5624,992,5.7,30,5,313,356,578,3703,24,25,6.2,180,391,1921,12,4.9,100,86,33,31.2,15.9,-104.05,,,,,,,,,,
2010,New England Patriots,14,2,0,0.875,518,313,205,16,5820,986,5.9,10,5,335,331,507,3847,37,5,7.2,196,454,1973,19,4.3,119,83,20,47,5.4,73.64,,,,,,,,,,
2010,New York Jets,11,5,0,0.688,367,304,63,16,5616,1087,5.2,21,7,307,288,525,3242,20,14,5.9,171,534,2374,14,4.4,118,103,18,32.2,10.6,-122.93,,,,,,,,,,
2010,Miami Dolphins,7,9,0,0.438,273,333,-60,16,5170,1040,5,31,10,300,335,557,3527,17,21,5.9,189,445,1643,8,3.7,91,72,20,29.7,15.7,-174.02,,,,,,,,,,
2010,Buffalo Bills,4,12,0,0.25,283,425,-142,16,4878,954,5.1,39,18,263,296,519,3158,24,21,5.7,166,401,1720,6,4.3,82,82,15,25.3,19.2,-174.07,,,,,,,,,,
